#Session	animalID	occasion	trapID
1	1	1	1
1	4	1	1
1	5	1	1
1	5	2	1
1	1	7	1
1	2	7	1
1	1	7	1
1	4	8	1
1	3	8	1
1	3	11	1
1	1	11	1
1	4	11	1
1	2	11	1
1	3	12	1
1	2	12	1
1	4	17	1
1	3	23	1
1	4	23	1
1	1	23	1
1	5	23	1
1	3	23	1
1	2	38	1
1	2	48	1
1	3	48	1
1	6	58	1
1	1	59	1
1	3	59	1
1	5	59	1
1	2	47	2
1	5	97	3
1	4	114	3
1	7	114	3
1	7	2	4
1	3	2	4
1	2	59	7
1	5	59	7
1	5	59	7
1	6	63	7
1	8	66	7
1	2	66	7
1	3	66	7
1	3	72	7
1	6	72	7
1	2	72	7
1	5	72	7
1	6	77	7
1	5	77	7
1	3	77	7
1	2	77	7
1	9	93	7
1	3	101	7
1	6	103	7
1	6	48	10
1	3	60	10
1	5	60	10
1	5	62	10
1	2	78	11
1	5	78	11
1	3	78	11
1	4	78	11
1	2	110	14
1	4	110	14
1	11	110	14
1	2	110	14
1	11	110	14
1	2	110	14
1	11	110	14
1	8	111	14
1	12	111	14
1	4	111	14
1	13	111	14
1	4	112	14
1	12	114	14
1	11	114	14
1	14	114	14
1	15	114	14
1	2	15	16
1	5	16	16
1	7	16	16
1	4	16	16
1	3	16	16
1	2	27	16
1	1	37	16
1	2	37	16
1	4	37	16
1	1	43	16
1	4	43	16
1	3	59	16
1	4	59	16
1	8	59	16
1	5	59	16
1	9	60	16
1	6	63	16
1	1	63	16
1	2	63	16
1	4	63	16
1	5	63	16
1	6	65	16
1	4	66	16
1	5	66	16
1	3	66	16
1	6	68	16
1	3	72	16
1	5	72	16
1	1	75	16
1	2	75	16
1	4	75	16
1	1	75	16
1	2	75	16
1	4	75	16
1	3	75	16
1	9	76	16
1	5	77	16
1	2	77	16
1	9	78	16
1	1	80	16
1	2	80	16
1	4	80	16
1	4	81	16
1	8	81	16
1	6	86	16
1	2	87	16
1	8	87	16
1	2	87	16
1	8	87	16
1	3	91	16
1	16	91	16
1	5	92	16
1	16	92	16
1	2	98	16
1	8	98	16
1	4	98	16
1	3	101	16
1	16	101	16
1	10	102	16
1	6	103	16
1	4	104	16
1	2	104	16
1	8	104	16
1	17	104	16
1	18	106	16
1	3	107	16
1	5	107	16
1	16	107	16
1	19	108	16
1	19	108	16
1	16	111	16
1	19	111	16
1	1	112	16
1	2	112	16
1	4	115	16
1	7	115	16
1	1	116	16
1	8	116	16
1	17	116	16
1	4	116	16
1	2	116	16
1	3	118	16
1	22	51	19
1	21	74	20
1	22	74	20
1	21	74	20
1	22	74	20
1	21	78	20
1	22	78	20
1	20	84	20
1	21	84	20
1	22	84	20
1	20	84	20
1	21	84	20
1	22	84	20
1	20	92	20
1	21	92	20
1	22	92	20
1	20	92	20
1	21	92	20
1	22	92	20
1	22	96	20
1	20	107	20
1	21	107	20
1	22	107	20
1	20	107	20
1	21	107	20
1	22	107	20
1	20	110	20
1	21	110	20
1	22	110	20
1	22	111	20
1	21	114	20
1	22	114	20
1	21	115	20
1	22	115	20
1	20	34	22
1	21	34	22
1	22	34	22
1	21	42	22
1	21	43	22
1	22	43	22
1	21	46	22
1	22	46	22
1	23	46	22
1	21	46	22
1	21	49	22
1	21	55	22
1	21	58	22
1	22	58	22
1	20	61	22
1	21	61	22
1	22	61	22
1	20	61	22
1	21	61	22
1	22	61	22
1	20	66	22
1	21	66	22
1	22	66	22
1	20	67	22
1	21	67	22
1	22	67	22
1	21	74	22
1	22	74	22
1	21	74	22
1	22	74	22
1	21	78	22
1	22	78	22
1	21	78	22
1	22	78	22
1	20	84	22
1	21	84	22
1	22	84	22
1	20	84	22
1	21	84	22
1	20	92	23
1	21	92	23
1	22	92	23
1	20	92	23
1	21	92	23
1	22	92	23
1	23	35	27
1	24	35	27
1	25	35	27
1	23	36	27
1	24	36	27
1	25	36	27
1	20	39	27
1	21	39	27
1	22	39	27
1	25	40	27
1	24	40	27
1	20	43	27
1	21	43	27
1	20	44	27
1	21	44	27
1	25	44	27
1	23	48	27
1	25	48	27
1	23	53	27
1	24	53	27
1	25	53	27
1	23	55	27
1	24	55	27
1	25	55	27
1	22	55	27
1	20	55	27
1	21	55	27
1	23	57	27
1	24	57	27
1	21	61	27
1	21	66	27
1	21	110	29
1	22	111	29
1	22	111	29
1	21	112	29
1	21	113	29
1	21	115	29
1	20	29	30
1	21	29	30
1	20	36	30
1	21	36	30
1	22	36	30
1	21	40	30
1	20	52	30
1	21	52	30
1	22	52	30
1	20	56	30
1	21	56	30
1	22	56	30
1	20	60	30
1	21	60	30
1	22	60	30
1	20	60	30
1	21	60	30
1	22	60	30
1	20	68	30
1	21	68	30
1	21	72	30
1	20	90	30
1	21	90	30
1	22	90	30
1	20	107	30
1	21	107	30
1	22	107	30
1	22	116	30
1	20	39	32
1	21	39	32
1	22	39	32
1	21	42	32
1	22	42	32
1	21	43	32
1	22	44	32
1	21	44	32
1	21	45	32
1	22	45	32
1	23	47	32
1	21	48	32
1	21	51	32
1	23	55	33
1	20	55	33
1	21	55	33
1	23	57	33
1	20	66	33
1	22	66	33
1	21	66	33
1	21	92	34
1	20	98	34
1	21	98	34
1	22	98	34
1	14	109	35
1	12	112	35
1	14	112	35
1	11	113	35
1	13	113	35
1	12	113	35
1	15	114	35
1	14	114	35
1	11	114	35
1	12	114	35
1	14	114	35
1	11	114	35
1	2	116	35
1	2	118	35
1	2	54	36
1	6	55	36
1	6	58	36
1	3	65	36
1	1	65	36
1	6	65	36
1	7	65	36
1	5	89	36
1	3	89	36
1	6	93	36
1	2	96	36
1	3	103	36
1	17	103	36
1	8	103	36
1	3	110	36
1	16	110	36
1	3	118	36
1	23	22	38
1	24	22	38
1	25	22	38
1	21	23	38
1	20	23	38
1	24	24	38
1	25	24	38
1	23	24	38
1	23	26	38
1	24	26	38
1	25	26	38
1	24	27	38
1	24	29	38
1	23	29	38
1	23	30	38
1	24	30	38
1	25	30	38
1	21	32	38
1	23	35	38
1	24	35	38
1	25	35	38
1	23	37	38
1	24	37	38
1	25	37	38
1	20	39	38
1	21	39	38
1	22	39	38
1	24	39	38
1	23	40	38
1	24	40	38
1	25	40	38
1	22	40	38
1	24	40	38
1	25	42	38
1	20	42	38
1	21	42	38
1	25	46	38
1	25	46	38
1	21	46	38
1	25	48	38
1	20	55	38
1	21	55	38
1	22	55	38
1	21	58	38
1	22	58	38
1	21	58	38
1	20	66	38
1	21	66	38
1	22	66	38
1	21	66	38
1	22	66	38
1	21	67	38
1	20	78	38
1	21	78	38
1	5	104	39
1	1	33	40
1	2	33	40
1	5	33	40
1	6	33	40
1	6	34	40
1	1	41	40
1	4	41	40
1	1	47	40
1	4	52	40
1	4	63	40
1	6	69	40
1	1	69	40
1	4	71	40
1	4	72	40
1	7	76	40
1	6	77	40
1	1	84	40
1	3	88	40
1	7	89	40
1	4	89	40
1	6	91	40
1	1	92	40
1	3	92	40
1	8	94	40
1	1	99	40
1	2	99	40
1	8	99	40
1	1	99	40
1	2	99	40
1	2	101	40
1	1	101	40
1	1	102	40
1	1	103	40
1	2	103	40
1	4	103	40
1	8	103	40
1	2	103	40
1	1	103	40
1	6	103	40
1	7	106	40
1	7	107	40
1	1	107	40
1	2	107	40
1	7	107	40
1	8	107	40
1	6	107	40
1	1	108	40
1	2	108	40
1	8	108	40
1	4	108	40
1	17	108	40
1	16	108	40
1	4	109	40
1	2	112	40
1	1	112	40
1	8	112	40
1	3	112	40
1	9	114	40
1	6	114	40
1	8	114	40
1	2	114	40
1	9	115	40
1	2	25	41
1	5	27	41
1	1	27	41
1	2	27	41
1	1	32	41
1	2	32	41
1	5	32	41
1	1	41	41
1	4	41	41
1	2	41	41
1	8	41	41
1	2	47	41
1	7	47	41
1	2	48	41
1	1	48	41
1	8	48	41
1	17	48	41
1	2	52	41
1	1	52	41
1	3	52	41
1	10	54	41
1	17	65	41
1	1	66	41
1	17	66	41
1	4	66	41
1	10	68	41
1	2	69	41
1	1	71	41
1	5	71	41
1	2	71	41
1	10	71	41
1	10	71	41
1	10	71	41
1	10	73	41
1	4	74	41
1	1	74	41
1	2	74	41
1	1	74	41
1	4	74	41
1	2	74	41
1	4	74	41
1	8	75	41
1	10	75	41
1	10	77	41
1	17	80	41
1	2	80	41
1	17	80	41
1	1	87	41
1	2	87	41
1	6	89	41
1	1	92	41
1	2	92	41
1	4	92	41
1	6	97	41
1	1	101	41
1	2	101	41
1	4	101	41
1	8	101	41
1	6	101	41
1	7	115	41
1	2	116	41
1	6	116	41
1	2	101	42
1	4	102	42
1	1	103	42
1	2	103	42
1	4	103	42
1	8	103	42
1	6	103	42
1	1	103	42
1	6	103	42
1	1	103	42
1	2	103	42
1	4	106	42
1	7	106	42
1	19	107	42
1	2	107	42
1	2	107	42
1	1	108	42
1	2	108	42
1	8	108	42
1	8	108	42
1	19	108	42
1	8	114	42
1	2	114	42
1	4	114	42
1	4	114	42
1	9	115	42
